深さ d (ダイ上面から) mm,V12 (HG2203),V25 (HG2203),V32 (HD3504NT),V40 (HD3504NT)
0,8,14.8,30,30
5,8,14.8,30,30
10,8,14.8,30,30
15,8,14.8,30,30
20,8,14.8,30,30
25,8,14.8,30,30
30,8,14.8,30,30
40,8,14.8,30,30
50,14.5,14.8,39.9,39.9
60,14.5,14.8,45.8,45.8
70,18.5,18.5,47,47
80,18.5,18.5,47,47
90,18.5,18.5,47,47
100,68,68,107,107
110,68,68,107,107
120,68,68,107,107
130,68,68,124,124
150,68,68,124,124
175,68,68,124,124
200,128,128,124,124
225,128,128,124,124
250,208,208,124,124
300,208,208,124,124
400,208,208,124,124
600,208,208,124,124
800,208,208,124,124
1000,208,208,124,124
床まで,1061.5,1061.5,1048,1046.6
